#pathway	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	P3-1	P3-2	P3-3
PWY-7371	3312.3589	12441.1104	7945.5503	2573.011	3303.2497	1574.5	3352.0053	1198.6726	3074.7291
PWY-7373	2012.123	3812.3673	2967.4195	1439.4431	1346.7777	725.2322	2118.6044	0.0	284.7463
PWY-7374	2322.0958	9625.8319	5641.4083	1709.4227	2275.119	1110.8436	2441.3387	1015.2194	1280.0496
PWY-7376	1336.0723	11565.8047	5549.3017	1394.1997	2174.7136	2031.4007	2471.2246	658.3023	0.0
PWY-7377	3287.8489	12597.4931	7335.0316	4530.7839	3059.8694	1544.6741	3554.1699	3259.9445	2679.4568
PWY-7391	0.0	392.0242	173.131	11.6545	237.1691	0.0	0.0	0.0	11.2515
PWY-7392	9860.7646	34319.5464	26077.7712	11716.2433	10733.1477	8460.4066	13313.6237	5744.3728	10487.5219
PWY-7400	13201.2832	48559.2419	35384.8545	14532.5308	15192.638	10172.4159	17332.7783	7749.098	17340.7797
PWY-7431	4852.1852	12355.1211	9744.929	6480.4357	4331.7774	5684.6459	7706.4833	1857.0056	6323.4411
PWY-7456	0.0	69.5422	219.3733	0.0	142.9107	0.0	178.1467	0.0	0.0
PWY-7527	4241.5838	12366.1921	8441.0629	5862.4602	3801.0113	5052.4874	5668.2891	1094.1815	250.0562
PWY-7539	8850.7006	39522.8967	23676.7535	11080.2886	10905.5296	8976.0638	13009.6967	7048.6512	15181.2392
PWY-7560	11337.0234	42775.0698	29223.4991	12978.401	12578.2131	9429.1798	15033.4948	7401.6312	14126.8558
PWY-7616	215.1314	298.5282	608.5272	100.3821	553.2699	0.0	618.7453	1045.9765	0.0
PWY-7663	20293.8862	81122.2696	50339.306	24092.0049	24635.1564	20285.1846	27008.868	12322.221	27457.727
PWY-7664	5576.0183	30068.0759	14529.0508	5678.0029	10039.5703	7323.7003	6560.2501	3743.4892	18575.5413
PWY-841	14415.9366	54596.8101	39043.0553	16337.5782	16324.7827	11850.4429	19060.5397	9070.9789	20291.9555
PWY-922	231.4457	634.0361	1014.3952	190.6822	1256.811	0.0	382.6516	0.0	80.3124
PWY0-1061	595.7113	4210.9736	3571.1714	3468.8324	5226.1675	235.2306	1055.2356	1867.1427	10156.4685
PWY0-1241	5104.5868	17002.5027	14126.5262	4641.5263	6028.7242	2175.9354	5293.5408	2448.49	8044.415
PWY0-1261	8890.011	41236.8968	25825.5962	10660.9822	12180.1943	8818.4673	13679.6392	6044.8889	11829.5659
PWY0-1277	437.1921	2384.883	1504.8984	383.471	378.7012	495.7058	245.3523	0.0	0.0
PWY0-1296	7938.6104	25808.6428	17467.2319	10832.8321	8599.0464	7425.5085	10990.7184	5873.3796	5556.0017
PWY0-1297	7067.8169	22689.7602	16257.7109	10305.3793	7731.9539	6981.3143	10122.76	5063.5093	4329.3122
PWY0-1298	6616.0753	21214.6855	16594.5521	10123.4003	7619.13	6346.1151	9967.2965	4773.0553	4887.1856
PWY0-1319	17490.3796	67944.9544	46240.4591	19878.4529	19878.0421	15158.4823	23449.9134	11373.0584	23283.3514
PWY0-1338	0.0	10.8529	0.0	651.2244	45.9572	0.0	61.065	61.1382	0.0
PWY0-1415	4287.6172	22604.1879	12145.27	7869.5864	6856.6447	6639.7165	8095.7907	3286.8903	5729.5261
PWY0-1479	6791.7295	26013.1286	18206.3594	6378.894	8379.5868	5096.7429	8311.0543	3666.2817	8287.6909
PWY0-1533	1038.2699	6014.1524	1629.0484	1638.1234	745.5281	2000.8466	566.4898	304.7863	1845.7953
PWY0-1586	10851.3141	43648.5337	26029.7921	19070.3015	13783.5618	13761.6317	17223.6331	7820.2992	10930.0551
PWY0-162	15074.4482	57697.9576	41674.7822	17152.3889	17160.0153	12177.2421	19983.946	9553.893	21974.4478
PWY0-166	10768.1902	41021.9308	28711.0316	11607.2404	11365.7463	8477.9139	13702.2921	6870.5097	14839.7807
PWY0-321	1026.4469	3717.4542	2336.2357	653.3416	1539.362	2241.0243	1256.7865	198.3311	254.1961
PWY0-41	0.0	26.8183	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY0-42	786.227	3745.6903	2472.5667	954.3337	1857.1591	559.4393	1075.5847	873.2361	3674.1589
PWY0-781	8139.0288	33851.3061	21641.5065	9901.1804	10293.0668	7623.8783	10457.4375	6480.3954	12505.9108
PWY0-845	974.8322	10893.7805	6031.3272	3345.1241	4655.6361	2637.68	2617.2612	1661.4812	1800.0956
PWY0-862	4922.8141	26849.9338	12841.2965	4980.1815	9008.0895	6501.4035	5758.1894	3321.2709	17299.7068
PWY1G-0	371.6347	2865.4849	1495.0354	299.8403	691.7365	336.3574	865.6582	688.6687	59.5747
PWY490-3	1417.4606	2851.0599	3104.3571	545.0704	977.6381	361.5226	2088.0146	46.079	373.7553
PWY4FS-7	14484.8909	57452.3623	38888.3461	16460.0117	16374.2281	12337.2152	19367.3257	9871.6144	19352.1842
PWY4FS-8	14484.8909	57452.3623	38888.3461	16460.0117	16374.2281	12337.2152	19367.3257	9871.6144	19352.1842
PWYG-321	5800.5276	31299.8419	15129.0556	5887.986	10433.194	7595.474	6817.5442	3893.9814	19309.0857
PYRIDNUCSAL-PWY	3087.0473	21767.9286	13051.8609	3840.0274	5884.2217	3312.342	5154.8448	3889.366	9648.3386
PYRIDNUCSYN-PWY	11651.8565	43362.8209	31310.7462	13665.4921	13281.1779	9452.8864	15322.3578	7130.2883	15790.958
PYRIDOXSYN-PWY	513.4295	9648.8551	4422.7337	2655.7421	4366.0334	1768.4739	1646.2085	1177.443	9526.8923
REDCITCYC	11751.5581	39370.1608	27840.6512	14302.0285	14016.8244	13203.2896	19086.4308	8576.3839	13988.8467
RHAMCAT-PWY	518.5904	2744.3183	1531.2031	940.3947	294.9859	358.0584	994.4797	415.0065	1234.5807
