#pathway	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	P3-1	P3-2	P3-3
P164-PWY	3780.2766	17292.2858	11025.5045	4724.4994	4467.1805	2700.6894	4553.003	4948.1371	0.0
P184-PWY	0.0	0.0	0.0	0.0	15.9068	162.9348	0.0	0.0	0.0
P221-PWY	310.8036	4759.0722	2103.1689	375.1532	600.5829	1673.7642	1934.5552	1293.5474	4603.4793
P23-PWY	10473.2453	46917.8658	30767.8707	14846.1678	14826.8749	12013.707	16515.1521	6931.7872	18451.3648
P241-PWY	0.0	17.1337	0.0	1.8368	0.0	0.0	0.0	0.0	0.0
P261-PWY	0.0	3.9979	51.6803	5.3453	0.0	0.0	0.0	0.0	0.0
P281-PWY	270.2361	141.8914	606.7243	0.0	342.1187	0.0	338.7291	591.3175	1.599
P381-PWY	1058.9951	4865.6137	5164.0293	1118.4501	0.0	695.4817	1521.3925	426.6288	0.0
P4-PWY	8396.5846	35074.9972	22169.0684	10415.3908	10493.084	7876.828	11038.1837	6603.027	12720.1709
P42-PWY	18858.1398	66913.6446	51327.3436	21844.2535	21466.3338	15308.8062	25013.4905	10796.0199	18441.0489
P441-PWY	2026.2507	9930.1246	8688.1625	3621.234	4449.1895	1009.8624	4165.6349	1491.9848	543.8675
P461-PWY	3696.8153	9530.3779	8066.0794	3565.3234	2753.0681	1067.1135	4142.4077	2862.0225	198.9007
P562-PWY	1573.7985	4395.4543	2606.238	1364.02	1293.8041	164.6761	1830.6982	1888.2573	3.9597
P621-PWY	0.0	19.7994	0.0	15.206	85.4912	0.0	88.1199	0.0	4.9455
PANTO-PWY	12275.8883	47067.7567	31764.5171	14131.8261	13786.5216	11055.8242	16516.3252	8194.4474	16581.6578
PANTOSYN-PWY	12289.1639	45026.4301	31888.2597	14345.4259	13819.8654	10775.685	16511.0049	7944.6023	15769.2586
PENTOSE-P-PWY	8804.4551	38506.2858	25233.3925	11719.3677	11768.2662	9812.7294	12994.734	6711.3796	16098.1562
PEPTIDOGLYCANSYN-PWY	12938.6965	50984.1334	34751.6783	14690.7998	14396.3351	10750.743	17572.0073	9204.2806	17467.3585
PHOSLIPSYN-PWY	15504.7925	61152.623	41721.5128	17561.5375	17580.6217	13641.957	20680.5033	10422.9775	20595.3338
POLYAMINSYN3-PWY	3223.1773	12952.2557	8030.2566	4842.2861	4241.0885	4182.9296	4413.4229	2567.5463	6122.5077
POLYAMSYN-PWY	5760.8305	18145.0589	11638.815	8168.22	6690.7266	6012.4242	8074.0045	3215.5401	6767.4641
POLYISOPRENSYN-PWY	11445.8128	45923.8606	32267.3475	12127.5499	13328.4244	8672.9135	14655.5148	7472.7691	18097.6271
PPGPPMET-PWY	2133.5963	10765.4177	5008.1591	3340.8855	3323.029	3620.2556	3471.7564	1456.3641	5668.7106
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	1811.8021	7047.2368	4548.2189	1437.7524	1824.6301	1356.9093	2108.5692	2281.1893	2421.3651
PRPP-PWY	10899.2425	39925.3423	28245.9929	14182.5196	13057.4406	8237.2262	14493.7297	6934.5172	11003.954
PWY-1269	6735.0763	28080.4088	18410.8345	6193.0402	8222.1773	5050.75	8290.1983	4208.6187	13026.8806
PWY-1422	0.0	35.4578	0.0	0.0	14.4059	10.5256	0.0	0.0	14.9387
PWY-1501	0.0	0.0	10.3048	0.0	0.0	0.0	0.0	0.0	0.0
PWY-1541	7.8213	2306.6321	606.9722	0.0	422.0076	568.0335	854.069	0.0	0.0
PWY-1622	2078.1536	13330.6108	6782.5227	2770.2973	3209.9765	3886.4996	3478.5911	1745.1758	2801.4432
PWY-181	5310.8	25618.9836	14558.3142	5307.3354	7590.7978	5565.6612	6162.8609	3869.262	9351.7141
PWY-1861	6095.8631	13569.2041	17607.5069	6770.0064	7117.3601	1165.5598	9503.6212	5319.1722	2282.0219
PWY-1882	0.0	201.3777	745.0788	0.0	0.0	0.0	0.0	0.0	0.0
PWY-2941	7787.5318	23550.4003	17079.2552	9855.3204	7727.6832	8009.5641	10886.614	3436.8583	305.7609
PWY-2942	14952.8869	58061.4634	39301.9982	17463.2286	17210.5305	11930.614	19446.8407	10400.0483	21028.1764
PWY-3001	16562.51	62046.1456	44659.7634	19545.3361	19389.4474	13240.726	21873.2288	10718.7139	23565.5828
PWY-3081	0.0	371.5535	330.4744	3.1795	35.0091	0.0	49.6633	0.0	0.0
PWY-3661	490.6462	2849.191	1985.0269	0.0	361.1039	1060.8596	1867.047	914.0131	0.0
PWY-3781	32630.5842	132326.5833	89081.6015	35482.3727	37677.1298	30978.1494	45981.3139	16902.6932	53340.9485
PWY-3801	1979.369	11409.7774	7795.7396	0.0	0.0	0.0	1249.5591	833.2159	2671.7719
PWY-4361	3106.6045	8771.3532	5881.1405	4515.0438	2690.732	4441.422	4205.4422	719.6924	151.486
PWY-4984	7194.6597	24939.8038	17769.518	9177.3135	8168.3222	7103.7137	9851.92	3117.3273	2727.5848
PWY-5005	1227.662	1558.3937	1826.3237	498.4024	798.1021	459.2785	328.1934	579.0039	95.5386
PWY-5022	6206.5573	20929.2117	15729.4592	7811.6933	7517.6412	5943.5941	8854.5862	3452.3595	6955.8375
PWY-5028	149.221	2618.1356	865.3955	1688.5292	488.4579	1002.1244	966.6871	275.459	1571.7332
PWY-5088	0.0	2.9438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5097	14058.2637	54453.5825	37108.1614	16359.9915	16172.0649	11442.2991	18492.3921	9560.6679	19685.7178
PWY-5100	7545.9073	26343.1398	17587.7129	9964.2284	8578.5909	6540.1538	10626.8073	6109.1547	8157.064
PWY-5101	19326.6144	76236.5564	53531.0914	22459.3997	22378.6072	16425.3851	26201.0657	13086.4622	29616.8727
PWY-5103	17034.9207	64631.8497	46027.4027	20257.5256	19818.3004	15080.6922	23071.3763	10686.6862	24371.4102
PWY-5104	18941.575	69432.2623	51821.8197	22127.6751	21523.7287	15274.6639	24985.2524	12565.7783	17352.3682
PWY-5121	11756.0786	44065.2292	30659.3736	13443.0204	13065.8838	9454.6358	15420.3096	7689.7806	14756.0661
PWY-5154	9222.6258	37942.2498	24094.9492	11697.0899	11334.1825	9762.6573	13988.7046	5324.2044	15901.0957
PWY-5177	1042.3725	626.805	1417.3897	517.8959	3.9996	212.4235	801.8639	855.2162	21.9901
PWY-5178	0.0	96.0697	33.2101	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5180	2477.0908	7040.8293	5539.2999	4334.7336	2855.6354	4563.8264	4864.8945	1620.193	295.9299
PWY-5181	463.2288	2292.7629	1767.583	0.0	681.1253	3.9885	617.1622	181.4194	0.0
PWY-5182	2477.0908	7040.8293	5539.2999	4334.7336	2855.6354	4563.8264	4864.8945	1620.193	295.9299
PWY-5183	0.0	0.0	36.225	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5188	12415.7256	48962.9519	33086.9466	14207.2079	14321.4277	10256.2023	16322.3238	8208.27	18241.4728
PWY-5189	12093.3879	47253.3006	31004.9401	14148.8822	13832.6011	10534.3455	16043.729	8118.757	17230.9034
PWY-5198	353.7213	1209.6007	2085.6132	563.9986	414.9891	23.3845	369.0571	0.0	2291.2528
PWY-5265	0.0	597.087	0.0	615.3396	368.068	762.2069	157.3047	0.0	0.0
PWY-5304	8064.0	19415.73	15934.5	16855.79	9365.21	17863.36	14801.27	2423.89	1435.0
PWY-5345	7631.8905	34423.1695	21644.0069	8059.3731	9829.2456	6778.3442	10721.8741	5124.6366	14842.0673
PWY-5347	9024.509	33773.3669	23320.8497	12310.3056	11661.5638	8719.8616	12803.1779	6945.2265	10569.479
PWY-5384	1408.3301	2930.8261	1694.7472	1192.2762	1768.4191	479.8184	1377.641	477.4751	5950.9779
PWY-5392	0.0	1582.8991	555.3298	79.9905	145.5437	0.0	1808.9217	0.0	478.6272
PWY-5415	2124.5871	6206.6138	4563.4611	3867.3697	2574.5883	4352.6915	4234.9643	1409.6455	9.3518
PWY-5417	253.4303	1142.6301	869.3496	127.362	494.1347	246.9872	467.2401	292.9601	0.0
PWY-5419	1932.7148	4864.8313	3654.4164	3790.548	2223.1662	4500.4249	3781.5932	19.9139	570.2218
PWY-5420	2042.6204	5305.4278	4027.7277	3969.5991	2381.5071	4471.526	4030.6567	34.4792	13.0174
PWY-5430	0.0	195.6406	44.2924	0.0	9.884	1.2487	0.0	0.0	0.0
PWY-5431	253.4303	1142.6301	869.3496	127.362	494.1347	246.9872	467.2401	292.9601	0.0
PWY-5484	13951.4105	49407.4611	37647.7523	15177.7969	16112.6864	11267.0379	18186.7216	9885.0312	15813.4504
PWY-5505	6017.6457	28332.1739	18496.386	6774.8466	7226.7241	3923.2934	7140.1621	4399.124	9993.1749
PWY-5507	1983.8737	5103.3034	5641.2834	1603.3499	0.0	691.0926	1722.8378	995.808	0.0
PWY-5509	4947.8887	20800.2569	14033.5279	5869.8613	5848.4952	2500.0247	6612.4056	4571.0499	4634.5051
PWY-5529	0.0	829.946	0.0	0.0	166.5935	309.7721	0.0	205.7853	0.0
PWY-5531	113.5941	1005.7028	805.2581	0.0	170.9286	310.5393	109.781	841.1236	210.2498
PWY-5532	105.7569	78.1629	326.7585	8.9317	38.1023	0.0	82.5839	0.0	10.3013
PWY-5647	1146.3864	2848.5512	2118.0557	2915.5132	1514.3187	3584.8974	2745.1015	12.4477	419.2312
PWY-5651	1576.4884	4889.4597	3147.2766	3436.7085	1997.247	4007.0292	3658.2486	853.2819	1963.3095
PWY-5654	1175.604	2786.7173	2195.5978	2919.6709	1504.4788	3595.5271	2727.2284	10.0	356.3996
PWY-5655	315.2451	2420.023	1207.6366	93.8659	420.8824	507.7172	899.4293	29.4106	22.0236
PWY-5656	0.0	84.6859	70.0316	0.0	0.0	0.0	0.0	0.0	313.2932
PWY-5659	13145.2074	53495.3703	38254.877	13550.5373	15630.1399	8657.7795	16881.58	8016.1017	22111.0445
PWY-5667	17490.3796	67944.9544	46240.4591	19878.4529	19878.0421	15158.4823	23449.9134	11373.0584	23283.3514
PWY-5676	5301.3259	19919.7003	11998.4377	6695.5721	6121.9722	4557.9255	7886.167	3598.3938	2568.4033
PWY-5677	0.0	71.4098	0.0	23.3043	0.0	489.8406	115.3784	0.0	0.0
PWY-5686	15383.6828	58488.1178	42288.8836	17985.6837	17537.5378	12312.9669	20237.7376	10036.6368	21763.5643
PWY-5695	13815.9193	52690.9945	36968.2835	16300.6035	16173.3406	12279.8437	18835.5908	9136.2229	16671.4626
PWY-5705	500.1299	3043.6148	1432.6807	441.8731	596.8661	505.0829	1013.6056	1072.1424	11.8795
PWY-5741	1195.6995	8476.6605	3799.4602	1558.2251	1856.8551	2555.8592	2342.0688	1062.9063	1923.6108
PWY-5747	748.8288	3814.1323	2546.3768	951.4076	2015.1504	509.441	1032.373	862.7632	4140.0482
PWY-5837	2859.3708	9771.845	6960.9759	5137.2434	4358.4081	4510.2381	5165.0603	1818.9512	2225.9576
PWY-5838	5061.1549	17724.4894	13202.4839	7557.2895	6899.9266	6000.5325	8416.8789	3156.4339	5351.0497
PWY-5840	5085.0395	17667.7553	13165.4271	7698.8177	6889.7202	6117.9431	8502.9313	3177.3867	5113.2789
PWY-5845	1218.3987	7705.8231	4730.9738	3921.3702	618.3631	1265.7981	1607.9255	667.5092	3461.7097
PWY-5850	1218.3987	7705.8231	4730.9738	3921.3702	430.6521	1265.7981	1607.9255	667.5092	3461.7097
PWY-5855	3597.7443	20308.4702	10471.3337	3843.0055	5470.4515	4106.9209	4546.9593	3319.4844	11683.6628
PWY-5856	3597.7443	20308.4702	10471.3337	3843.0055	5470.4515	4106.9209	4546.9593	3319.4844	11683.6628
PWY-5857	3597.7443	20308.4702	10471.3337	3843.0055	5470.4515	4106.9209	4546.9593	3319.4844	11683.6628
PWY-5860	837.39	5412.9855	3288.7382	2871.8594	289.8307	879.6694	1105.1258	458.7692	2447.7958
PWY-5861	3854.4906	13384.7987	9938.0357	6091.2112	5417.3094	4956.7428	6657.4069	2452.1521	3913.3164
PWY-5862	837.39	5412.9855	3288.7382	2871.8594	417.8927	879.6694	1105.1258	458.7692	2447.7958
PWY-5863	3162.9841	10809.4896	7722.4839	5577.8051	4755.2598	4787.7603	5632.9308	2013.4096	2488.9437
PWY-5896	1218.3987	7705.8231	4730.9738	3921.3702	430.6521	1265.7981	1607.9255	667.5092	3461.7097
PWY-5897	4836.69	16826.7184	12509.1248	7428.0314	6664.2443	5944.5508	8159.1595	3026.0612	4922.0337
PWY-5898	4836.69	16826.7184	12509.1248	7428.0314	6664.2443	5944.5508	8159.1595	3026.0612	4922.0337
PWY-5899	4836.69	16826.7184	12509.1248	7428.0314	6664.2443	5944.5508	8159.1595	3026.0612	4922.0337
PWY-5910	328.1636	900.6954	1431.7886	270.9363	1732.0499	0.0	541.365	0.0	114.5016
PWY-5913	5152.4127	26422.0835	15908.6274	9035.6448	8701.2423	8066.3969	9103.2645	4306.4587	12389.6489
PWY-5918	10367.2994	37553.816	25642.9579	12174.5898	11882.7319	9624.7787	13958.9187	5632.0792	14430.5249
PWY-5920	4474.6521	25438.2817	14092.0272	5477.2986	6828.7586	6269.8686	6830.1361	3796.4083	6762.9592
PWY-5941	0.0	0.0	7.9978	0.0	658.6674	0.0	0.0	338.0861	5173.5036
PWY-5971	4758.8168	18198.4487	14644.3003	4848.018	6374.23	0.0	6022.9622	2093.339	0.0
PWY-5973	20733.2388	80981.7021	51165.5333	23807.1568	24571.8694	19271.1746	26856.3139	12219.8973	27019.2283
PWY-5989	5047.2926	27582.3645	13197.8603	5086.9055	9277.1598	6682.4498	5907.7881	3406.6676	17762.906
PWY-6071	779.0901	2833.2441	1848.6462	431.0158	1157.186	836.6011	924.7647	227.4323	252.7075
PWY-6121	14265.2469	53767.6332	38018.8039	16991.641	16130.5551	11615.584	18651.036	9308.8474	19555.8665
PWY-6122	14781.4027	55537.3646	39379.3634	17577.5679	16673.9394	12030.5701	19340.2377	9595.6508	19259.8193
PWY-6123	12961.3566	48291.0347	34686.9581	14754.9682	14470.0741	10280.1968	16749.74	8338.7216	17885.4944
PWY-6125	13768.1261	52794.2355	37838.8058	15246.4805	15511.4803	11583.2427	18570.717	8655.3284	20158.1842
PWY-6126	15388.7501	57982.6747	42779.5844	17483.7135	17668.4981	12709.9533	20463.2015	9233.6725	22536.4337
PWY-6147	8854.8309	39526.4049	23810.8523	11057.3204	10656.9393	8842.2229	12814.4522	6838.0502	15366.2689
PWY-6148	45.0466	33.5504	95.4082	68.7626	448.827	0.0	0.0	264.4251	1138.5199
PWY-6151	5287.0093	17203.3434	13569.0234	9193.05	6882.0758	6119.4527	8478.1111	4069.2538	4655.0734
PWY-6163	13661.8403	52448.7027	37177.6132	16051.7263	15733.093	11157.2581	17783.1263	9154.3107	19546.8168
PWY-6165	0.0	47.5731	0.0	2540.1877	0.0	0.0	0.0	0.0	0.0
PWY-6167	946.3343	1399.5617	3562.8215	1528.3588	1030.8013	0.0	939.605	0.0	3446.4951
PWY-6174	0.0	452.8393	162.9959	10.4764	1695.7913	0.0	0.0	0.0	80.1567
PWY-6182	283.873	1291.1515	965.3523	144.8966	544.1348	281.546	523.4981	332.4991	0.0
PWY-6185	279.9365	1554.5288	1002.8402	0.0	544.3298	2.4921	523.3381	115.7956	0.0
PWY-621	2852.4941	8508.3682	6110.9968	3510.7158	2029.0085	1047.2182	1651.2621	1135.4608	5652.3045
PWY-6210	0.0	59.3584	288.1954	0.0	0.0	173.6286	128.8717	0.0	1.5964
PWY-622	0.0	186.4489	426.0281	58.915	0.0	0.0	0.0	0.0	280.2127
PWY-6263	6509.2535	23606.0103	16062.2694	5542.9328	6557.1145	3518.4177	7032.7912	2644.1209	5822.4477
PWY-6269	4974.6186	20934.3476	14169.7044	5915.2488	5896.9498	2505.1729	6702.7894	4584.8445	4641.8205
PWY-6277	14781.4027	55537.3646	39379.3634	17577.5679	16673.9394	12030.5701	19340.2377	9595.6508	19259.8193
PWY-6282	4992.2542	27337.0237	13039.0368	5055.4615	9181.2075	6658.9274	5847.8843	3365.4303	17631.6765
PWY-6317	6605.6514	22821.8583	18188.9037	7057.3039	7961.5177	3088.2455	8497.6508	6329.5813	8403.2458
PWY-6338	0.0	0.0	0.0	0.0	15.3827	0.0	0.0	0.0	0.0
PWY-6339	0.0	0.0	0.0	0.0	0.0	295.5084	0.0	0.0	0.0
PWY-6349	1053.6646	1646.4228	3423.7562	1736.1435	1426.1143	344.701	1075.1078	523.4698	463.4323
PWY-6350	1037.3841	1563.1153	3405.4204	1736.1148	1407.7963	321.7241	1038.7553	480.9477	528.2853
PWY-6353	5468.6561	22481.532	16608.3356	6637.6745	6765.5451	4488.9396	8157.2118	6122.2598	7023.5256
PWY-6383	336.5	1129.5165	1239.0326	148.8468	590.0944	381.5837	543.9341	891.2872	5.9974
PWY-6385	12438.5395	49156.4733	33243.9992	14424.6685	13933.2677	10481.7838	16943.6019	9005.2614	17094.6686
PWY-6386	12432.2744	49226.3964	33182.8372	14326.2819	13833.2394	10401.6666	16860.6874	9087.1557	16840.3305
PWY-6387	13117.8448	51888.242	35163.974	14973.3615	14604.1805	10989.632	17820.8887	9400.0106	17400.4438
PWY-6396	1094.3709	2498.6739	2301.8899	508.5306	738.5696	628.9771	557.0602	0.0	68.9047
PWY-6397	88.0149	653.5532	352.3227	69.0239	77.8144	90.4714	44.3474	0.0	0.0
PWY-6404	315.5073	2214.3994	1244.0907	244.326	281.0407	320.4365	162.8238	0.0	0.0
PWY-6467	7305.17	31575.07	20329.94	6452.88	8777.77	5852.75	9592.88	4955.8	13519.37
PWY-6470	819.2127	2282.0814	2475.9645	342.7318	1341.8319	1883.2344	0.0	0.0	0.0
PWY-6471	5187.1077	12462.2958	7745.126	4365.45	4711.0015	3332.355	6138.5088	3218.5481	701.0342
PWY-6478	3096.7267	10116.7508	8179.0712	2886.6458	2977.192	1210.7275	3178.6272	1384.8895	4249.9761
PWY-6505	1520.64	3950.9035	2885.9247	3395.3573	1893.3265	3934.1402	3392.6591	0.0	4.3146
PWY-6507	1842.7866	4998.5663	3705.1609	2059.2688	2492.2785	240.8406	3054.2081	2647.0199	648.7305
PWY-6519	3982.1669	22236.6559	10780.4969	4429.2714	6644.0731	5863.0965	5174.6099	2674.6077	13408.15
PWY-6545	6116.6633	27607.8641	17199.6246	7118.2069	7412.3176	4523.1478	8996.6243	5404.4105	8561.0444
PWY-6562	294.3485	1126.615	572.3122	0.0	1236.2054	13.679	1106.4101	3.2093	737.7163
PWY-6565	0.0	14.1454	133.4253	0.0	1393.0457	0.0	0.0	0.0	68.2235
PWY-6581	0.0	0.0	0.0	0.0	30.0	60.5	0.0	313.0	0.0
PWY-6588	9416.4988	29307.8261	19138.8339	13226.5036	9295.6898	7594.5391	14772.9564	6141.9609	303.2374
PWY-6590	7320.312	24572.0812	16294.1555	8683.2682	7768.8436	5712.4582	9137.5268	5160.1841	571.7852
PWY-6608	5362.7688	27922.5499	17160.6873	6459.1487	6534.449	5390.7404	7680.6314	6994.6772	8441.1579
PWY-6609	14536.4106	51073.0029	35698.159	16605.8507	15568.7526	11194.863	18672.083	9658.3619	13457.5366
PWY-6612	9276.6311	37508.1921	23441.1155	11074.8697	10706.9252	9248.541	12670.1107	6294.2332	14410.2071
PWY-6628	2700.6826	21101.9489	9519.8092	5293.6027	7532.7903	4563.7244	6386.7177	3040.6566	1224.3774
PWY-6629	0.0	0.0	0.0	5041.1773	0.0	0.0	0.0	0.0	0.0
PWY-6630	2695.9867	21033.6095	9499.5231	5266.8125	7479.6485	4547.1931	6361.0288	3015.967	1223.2581
PWY-6641	241.9277	912.5673	928.3636	6.6753	385.9483	250.0508	802.0494	0.0	0.0
PWY-6654	1790.8505	2512.0368	5913.5458	3053.3559	2409.7474	495.8505	1723.8021	684.919	2155.984
PWY-6690	128.3375	847.4178	496.3764	102.8501	106.1308	135.2696	64.0035	0.0	0.0
PWY-6700	10812.4287	39714.2978	27466.8826	12285.1421	12130.7199	9756.7462	14296.811	6553.6799	14426.3083
PWY-6703	11390.1664	42289.6085	28641.1488	12896.787	12597.9841	9320.6094	14650.912	6957.2053	15262.7094
