Sample	Water_content	Salinity	Temperature	Organic_Matter
P1-1	submerged	665.9	25	3.71
P1-2	submerged	665.9	25	3.71
P1-3	submerged	665.9	25	3.71
P2-1	intertidal	677.6	29	3.86
P2-2	intertidal	677.6	29	3.86
P2-3	intertidal	677.6	29	3.86
P3-3	dry	1047	29	1.4
P3-3	dry	1047	29	1.4
P3-3	dry	1047	29	1.4
