Feature ID	Taxon	Confidence
01ad2791611387b1d77eac520c2e9fe3	D_0__Bacteria;D_1__Aegiribacteria;D_2__Candidatus Aegiribacteria bacterium MLS_C;D_3__;D_4__;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9978091151748922
01b0bd9a4a6592540d968ca2763047f1	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Sva0485;D_4__uncultured Syntrophus sp.;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.7957167607258846
01b14f0b4cd38e5011cfc5243c38d597	D_0__Bacteria;D_1__Armatimonadetes;D_2__uncultured;D_3__uncultured bacterium SJA-176;D_4__;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9519753818570839
01bd0b7944a4cf4747e14fdd9b5bb1eb	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	0.9990005553371865
01c7f5141d6e1a9b00ab5edf37db2b76	D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__Anaerolineales;D_4__Anaerolineaceae	0.9008911557207512
01c8258fe5071472144f4bc60d2f0823	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Methylococcales;D_4__Methylococcaceae;D_5__Methylocaldum	0.723509778561861
01cdcf8ac7e4d1f33356bd10bada2a23	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria	0.7383395047753556
01d32fbfd685a6df5d5ebe86b2bca6fc	D_0__Bacteria	0.9993666978671057
01de1ba8287799a3aef50b25bddd9149	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Achromobacter	0.8584868800973202
01dec9f0f3f4879816573994ce22b738	D_0__Bacteria	0.9995257524424578
01e1b29c62c87efe2df2d5e4723b553a	D_0__Bacteria;D_1__Planctomycetes;D_2__Pla3 lineage	0.7506432906953949
01e5209cfe2431a7e67ab5e38c57d152	D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia;D_3__Methanomicrobiales;D_4__Methanomicrobiaceae;D_5__SDB;D_6__Methanoculleus sp. SDB;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9898809461744961
02008307d30369fef626f30f89deada1	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales	0.8892519857323086
0208c1fc7419c54a07327766908b5da3	D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces	0.7342275009304745
020ab9e7131d30cd88369d14784eccc8	Unassigned	0.3166873228033581
020ecd6e881c2f300c4c0dd262ccd641	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Cytophagales	0.9118389930482271
020fc47ec014afbe06851c4a7f3e90a1	D_0__Bacteria	0.9996191401580437
0219129f48b8f4f9802ca1777b0d7c96	D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Pedosphaerales;D_4__Pedosphaeraceae;D_5__ADurb.Bin063-1	0.9977280294423276
0221d35fbf3fd1baff0bde9d7af25252	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.9359260293455504
0222361c224ff6c346f5ed82c3fab0d3	D_0__Archaea;D_1__Crenarchaeota;D_2__Bathyarchaeia	0.9999359931345126
022740157443664ea6bac2d126c2263b	D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__MSBL9;D_4__SG8-4;D_5__Phycisphaerales bacterium Planc_01;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.9950690600889388
022e852026362c3ba1dfcb61307f74f4	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__NB1-j;D_4__uncultured Acidobacteria bacterium;D_5__;D_6__;D_7__;D_8__;D_9__;D_10__;D_11__;D_12__;D_13__;D_14__	0.8846877489759764
