# Constructed from biom file
#OTU ID	P1	P2	P3	M1	M2	M3
0002aae1f796feb7047d3e5098dfc7ac	0.0	0.0	0.0	11.0	47.0	0.0
00058aee008ba511fd4bc92fc4eca454	0.0	0.0	0.0	0.0	29.0	0.0
0013c30cd163717e3ba479cb49598c5c	0.0	0.0	0.0	0.0	46.0	0.0
001a59f4daedd09046ce80e019836259	0.0	0.0	0.0	31.0	67.0	194.0
002cbe5144a7bdc07aeca5ed8a732852	0.0	0.0	0.0	0.0	0.0	6.0
002fe0dd8b12b97befb3bce505b32ee1	0.0	0.0	0.0	7.0	11.0	0.0
0046d13d340b2fdf0e9daa9d222846a3	0.0	0.0	0.0	82.0	53.0	69.0
00548952e3c8de3b22d6371514dd44a2	0.0	0.0	0.0	10.0	0.0	0.0
005db3db9fcf85462c6da7e47b202975	0.0	0.0	110.0	0.0	0.0	0.0
005eb3c761cf172095735b2610fa2121	0.0	0.0	0.0	29.0	0.0	25.0
0063b07ff14e42e8c59a0db68fe64de7	0.0	0.0	0.0	14.0	11.0	17.0
00678aa47ef452172daf3ed8c35ee0cd	0.0	0.0	0.0	0.0	12.0	0.0
009443e518e9b1c124ff7b53f930a4b8	0.0	0.0	0.0	0.0	3.0	0.0
0094c1233e5234f1499d8405779c97c9	0.0	0.0	0.0	5.0	0.0	5.0
00a4975025f42148ff0f1808ebd0571b	0.0	2.0	0.0	0.0	0.0	0.0
00a5ab3879bda4420dfa95b0425da494	0.0	8.0	0.0	0.0	0.0	0.0
00ac22e76a887bc98d313ba9b4a9b7cb	0.0	0.0	0.0	0.0	7.0	6.0
00bf08eb7bfa781f35cdd052372d6102	0.0	0.0	0.0	33.0	0.0	32.0
00c385b61235c52fd6bd879c5372f59d	0.0	0.0	0.0	0.0	0.0	6.0
00e17cd4df16c1af9d1c1619bc187c3d	0.0	0.0	0.0	14.0	0.0	0.0
00e4b6ccb9cc6a81ff0967f14818dcb8	0.0	0.0	0.0	20.0	0.0	0.0
00e696d0a9a234eb83883a0d2470abca	0.0	0.0	0.0	0.0	17.0	0.0
00f469a8514c15196bc5b477ad24bee3	0.0	0.0	0.0	74.0	0.0	80.0
00f5f09b91f5d4406f382abd76ea4ed7	0.0	0.0	0.0	15.0	0.0	0.0
00faf859b5c99b0f46693316e9605a37	0.0	0.0	0.0	6.0	0.0	0.0
010aaf512e4b839ecd1dfe96da8fda87	0.0	0.0	0.0	0.0	27.0	0.0
011c3685a74e1d76fb4ad319b5e5c2df	0.0	0.0	0.0	0.0	39.0	0.0
012130cb647b33221ebee448158f3dc9	0.0	0.0	0.0	69.0	143.0	28.0
01273f7c7fa2f451c15f00bafb35c2e6	2.0	0.0	0.0	0.0	0.0	0.0
012f3a4fa37df7ab438585b011db4b90	0.0	0.0	0.0	0.0	4.0	0.0
0158ad9ca464940817818ce17f6f44ba	0.0	0.0	0.0	19.0	23.0	34.0
01623bfec46584b9590c2ffc96dfdf9c	0.0	0.0	0.0	31.0	40.0	45.0
017706fe68d8a68c8d64fb37d806125a	0.0	0.0	0.0	48.0	74.0	24.0
017b682d0f974b4a484891f55a16a42c	0.0	0.0	0.0	0.0	0.0	10.0
017cc45b8c7594c8708742a551093a75	0.0	0.0	0.0	0.0	24.0	0.0
017f955d57b66a18d5c7d5ce14ce5393	0.0	0.0	0.0	5.0	0.0	0.0
01932cf0b6cb03f8f2111a0ad8293816	0.0	0.0	0.0	0.0	9.0	0.0
0197ab63e3ec518a64bd86c0e9c7b6e0	0.0	0.0	0.0	28.0	9.0	0.0
01ad2791611387b1d77eac520c2e9fe3	0.0	0.0	0.0	0.0	7.0	0.0
01b0bd9a4a6592540d968ca2763047f1	0.0	0.0	0.0	0.0	20.0	20.0
01b14f0b4cd38e5011cfc5243c38d597	0.0	0.0	0.0	22.0	0.0	0.0
01bd0b7944a4cf4747e14fdd9b5bb1eb	0.0	0.0	146.0	0.0	0.0	0.0
01c7f5141d6e1a9b00ab5edf37db2b76	0.0	0.0	0.0	0.0	51.0	0.0
01c8258fe5071472144f4bc60d2f0823	0.0	0.0	0.0	0.0	12.0	0.0
01cdcf8ac7e4d1f33356bd10bada2a23	0.0	0.0	0.0	0.0	0.0	15.0
01d32fbfd685a6df5d5ebe86b2bca6fc	0.0	0.0	0.0	57.0	58.0	78.0
01de1ba8287799a3aef50b25bddd9149	0.0	0.0	0.0	10.0	51.0	24.0
01dec9f0f3f4879816573994ce22b738	0.0	0.0	0.0	13.0	12.0	38.0
01e1b29c62c87efe2df2d5e4723b553a	0.0	0.0	0.0	9.0	0.0	0.0
01e5209cfe2431a7e67ab5e38c57d152	0.0	0.0	0.0	56.0	11.0	18.0
02008307d30369fef626f30f89deada1	2.0	0.0	0.0	0.0	0.0	0.0
0208c1fc7419c54a07327766908b5da3	0.0	0.0	0.0	0.0	16.0	0.0
020ab9e7131d30cd88369d14784eccc8	0.0	263.0	0.0	0.0	0.0	0.0
020ecd6e881c2f300c4c0dd262ccd641	0.0	0.0	0.0	27.0	20.0	0.0
020fc47ec014afbe06851c4a7f3e90a1	0.0	0.0	0.0	0.0	0.0	30.0
0219129f48b8f4f9802ca1777b0d7c96	0.0	0.0	0.0	0.0	24.0	0.0
0221d35fbf3fd1baff0bde9d7af25252	0.0	0.0	0.0	28.0	0.0	0.0
0222361c224ff6c346f5ed82c3fab0d3	0.0	0.0	0.0	55.0	0.0	0.0
022740157443664ea6bac2d126c2263b	0.0	0.0	19.0	0.0	0.0	0.0
022e852026362c3ba1dfcb61307f74f4	0.0	0.0	0.0	0.0	19.0	0.0
022e8a104e35d69ab0a51804387130ea	0.0	0.0	0.0	0.0	23.0	0.0
022f202150f1a0ef09659d2fd8e55730	0.0	0.0	0.0	0.0	11.0	0.0
023d4bda976a56096d517452367eb8ce	0.0	0.0	0.0	0.0	7.0	0.0
023e8794a813e46ada492b668569b34d	0.0	0.0	0.0	16.0	0.0	0.0
024297a242c94102a428d21827d889e2	13.0	0.0	0.0	0.0	0.0	0.0
0242e9db67c7b7776f27ab2c1bcd1459	0.0	0.0	0.0	0.0	16.0	0.0
02459e77d42b38a4ed8ba7cca3b63da0	0.0	0.0	0.0	0.0	10.0	0.0
