Sample	Water_content	Salinity	Temperature	Organic_Matter
P11	submerged	665.9	25	371
P12	submerged	665.9	25	371
P13	submerged	665.9	25	371
P21	intertidal	677.6	29	386
P22	intertidal	677.6	29	386
P23	intertidal	677.6	29	386
P31	dry	1047	29	14
P32	dry	1047	29	14
P33	dry	1047	29	14
